City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tawaramoto,75,JP,1602535884,82,34.55,135.8,69.8,3.36
Marawi,100,PH,1602535884,94,8.0,124.29,73.99,1.01
Vaini,20,TO,1602535885,64,-21.2,-175.2,75.2,12.75
Vilhena,93,BR,1602535885,57,-12.74,-60.15,81.9,2.71
Kodino,100,RU,1602535885,95,63.72,39.64,47.62,6.51
Mataura,53,NZ,1602535885,75,-46.19,168.86,51.01,10.0
Bredasdorp,37,ZA,1602535885,82,-34.53,20.04,59.0,14.99
Albany,97,US,1602535885,55,42.6,-73.97,55.99,7.45
Hermanus,2,ZA,1602535885,86,-34.42,19.23,57.99,1.01
Berlevåg,40,NO,1602535885,93,70.86,29.09,39.2,19.46
Bluff,60,NZ,1602535886,75,-46.6,168.33,51.01,10.0
Grand Gaube,0,MU,1602535886,80,-20.01,57.66,73.0,5.99
Ushuaia,75,AR,1602535882,70,-54.8,-68.3,44.6,5.82
Fort Nelson,90,CA,1602535886,86,58.81,-122.7,39.2,5.82
Nouadhibou,0,MR,1602535886,94,20.93,-17.03,69.8,12.75
Butaritari,19,KI,1602535886,74,3.07,172.79,82.17,18.32
Avarua,86,CK,1602535886,83,-21.21,-159.78,73.4,9.17
Chui,81,UY,1602535886,80,-33.7,-53.46,59.36,6.71
Novy Urengoy,91,RU,1602535886,95,66.08,76.63,35.24,11.43
Rikitea,15,PF,1602535887,76,-23.12,-134.97,74.16,15.82
Port Alfred,57,ZA,1602535887,68,-33.59,26.89,61.61,6.67
Christchurch,98,NZ,1602535803,93,-43.53,172.63,57.99,5.82
Busselton,98,AU,1602535887,65,-33.65,115.33,55.99,8.81
Hong Kong,100,HK,1602535828,86,22.29,114.16,78.01,1.01
Tagusao,100,PH,1602535887,78,9.19,117.81,79.79,4.92
Muisne,75,EC,1602535887,78,0.6,-80.03,80.6,17.22
Faanui,2,PF,1602535887,80,-16.48,-151.75,78.71,15.52
Sioux Lookout,75,CA,1602535887,70,50.1,-91.92,48.2,10.29
Tutóia,1,BR,1602535887,77,-2.76,-42.27,79.99,12.57
Kūhdasht,0,IR,1602535888,45,33.53,47.61,52.07,3.67
Nivala,94,FI,1602535888,97,63.92,24.97,37.99,1.01
Saint George,1,US,1602535888,15,37.1,-113.58,84.0,5.5
Severo-Kuril'sk,80,RU,1602535888,77,50.68,156.12,46.24,15.19
Pangnirtung,75,CA,1602535888,64,66.15,-65.71,35.6,13.87
Yellowknife,90,CA,1602535888,69,62.46,-114.35,35.6,27.51
Zhaotong,100,CN,1602535888,90,27.32,103.72,53.47,1.88
Westport,90,US,1602535888,71,41.14,-73.36,57.2,20.8
Denpasar,20,ID,1602535888,83,-8.65,115.22,80.6,11.41
Paita,23,PE,1602535889,73,-5.09,-81.11,68.76,14.34
Cape Town,13,ZA,1602535889,76,-33.93,18.42,59.0,4.7
Deputatsky,98,RU,1602535889,98,69.3,139.9,10.22,2.46
